TRAIN_NUMBER,COMMERCIAL_LINE_NUMBER_DESIGNATION,OPERATING_POINT_ABBREVIATION,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,PLAN_FORMATION_MAXIMAL_VELOCITY,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,SIMULATED_TIMESTAMP,SIMULATED_DELAY,DAILY_PLAN_OPERATIONAL_DELAY_SEC,tre200s0,fkl010z1,fu3010z0,rre150z0,htoauts0,hto000d0,causes
6902,R23,NE,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:05:00,2025-01-01 04:05:00,2025-01-01 04:05:00.000000,0.0,-9.0,0.575,3.2,7.2,0.0,,,
1507,IC5,BI,FV,departure,True,commercialStop,200,NVZ,2025-01-01 04:16:00,2025-01-01 04:16:00,2025-01-01 04:16:00.000000,0.0,-18.0,0.575,3.2,7.2,0.0,,,
504,IC5,BI,FV,departure,True,commercialStop,200,NVZ,2025-01-01 04:18:00,2025-01-01 04:18:00,2025-01-01 04:18:10.000000,10.0,10.0,0.575,3.2,7.2,0.0,,,total_delay=10s
15318,S3,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:18:00,2025-01-01 04:19:00,2025-01-01 04:18:53.000000,53.0,53.0,0.575,3.2,7.2,0.0,,,total_delay=53s
7657,S20,BI,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:21:00,2025-01-01 04:21:00,2025-01-01 04:21:05.000000,5.0,5.0,0.575,3.2,7.2,0.0,,,
504,IC5,TUE,FV,arrival,True,pass,200,NVZ,2025-01-01 04:21:00,2025-01-01 04:21:00,2025-01-01 04:21:12.462391,12.462391059025322,28.0,0.575,3.2,7.2,0.0,,,
504,IC5,TUE,FV,departure,True,pass,200,NVZ,2025-01-01 04:21:00,2025-01-01 04:21:00,2025-01-01 04:21:12.462391,12.462391059025322,28.0,0.575,3.2,7.2,0.0,,,total_delay=12s
6006,R13,NE,RV,departure,True,commercialStop,160,NVZ,2025-01-01 04:22:00,2025-01-01 04:22:00,2025-01-01 04:22:14.000000,14.0,14.0,0.575,3.2,7.2,0.0,,,total_delay=14s
504,IC5,TWN,FV,arrival,True,pass,200,NVZ,2025-01-01 04:23:00,2025-01-01 04:23:00,2025-01-01 04:23:22.122818,22.1228176258046,8.0,0.575,3.2,7.2,0.0,,,
504,IC5,TWN,FV,departure,True,pass,200,NVZ,2025-01-01 04:23:00,2025-01-01 04:23:00,2025-01-01 04:23:22.122818,22.1228176258046,8.0,0.575,3.2,7.2,0.0,,,total_delay=22s
